ID_Option,Crops,RESEARCH/TECHNOLOGY OPTIONS,BCR,Poverty ,Child Malnutrition
1_Op1,Sorghum,Early-maturing varieties and hybrids with tolerance to drought,23,-541860,11113845
1_Op2,Pearl millet,Genetically diverse dual-purpose hybrid parents/cultivars with high and stable yields with disease resistance (downy mildew and blast),14,-321258,52989
1_Op3,Pearl millet,"Early-maturing, drought-tolerant hybrids which can give stable yields under severe drought conditions",13,-304013,47725
1_Op4,Pearl millet,Biological control of millet head miner and resistant hybrid parents,6,-201361,37148
1_Op5,Cowpea,"Insect- (aphid, thrips, pod sucking bug, maruca) resistant lines and integrated pest management including biological control",16,-253917,35801
1_Op6,Cowpea,Drought-tolerant varieties and integrated crop management,16,-256301,33492
1_Op7,Sorghum,Striga-resistant varieties and hybrids,9,-206046,30719
1_Op8,Cowpea,Low P-tolerant varieties and integrated crop management,12,-160632,25329
1_Op9,Pearl millet,Integrated soil fertility management and identifying genotypes for low P tolerance,3,-106836,23925
1_Op10,Sorghum,Stem borer/midge-tolerant cultivars,5,-117061,21131
1_Op11,Cowpea,Disease-resistant varieties and integrated crop management,6,-97067,19408
1_Op12,Cowpea,Striga-resistant varieties and integrated crop management,6,-97067,19408
1_Op13,Sorghum,Cultivars adapted to low soil fertility/and with nutrient-use efficiency,2,-100912,18428
1_Op14,Pearl millet,OPVs with host plant resistance to Striga hermonthica,2,-42844,15950
1_Op15,Groundnut,Drought-tolerant/resistant variety and short-duration (early-maturing) variety,21,-119839,3809
1_Op16,Groundnut,Moderately-resistant variety (for short-duration variety) and highly- resistant variety (for medium- and long-duration varieties) to early and late leaf spot,7,-50131,3747
1_Op17,Groundnut,Rosette-resistant variety,8,-39523,3086
1_Op18,Groundnut,"Soil fertility management for P and other nutrients (N, Ca) including chemical/organic fertilizers application",6,-29041,1689
1_Op19,Groundnut,Low P-tolerant/efficient variety,3,-15486,1215
1_Op20,Groundnut,Pre and postharvest aflatoxin management practices including Good Agricultural Practices (GAP),14,-67239,1126
